booking_id,passenger_id,flight_id,booking_date,status,seat_number,passport_hash
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,10D,04dd042c1e1ab3ff
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,ed6b7590cce5d1cf
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,fc5693cfa4ecd4c4
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,8d8e07d18c560ccc
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,7692ebdaa67d0145
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,16E,a73f4fb59b6adb79
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,12A,b5445c25a22ff182
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,353ce93dac98d0e1
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,b5b24442fce4fc3e
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,31A,787ca2cc91810d7a
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,25F,9fe4832e46605171
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,31C,7839eaee1278bad2
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,25D,dc742f97ecc693fb
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,eeefb195c4346565
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,c6dfeae13ecd8e69
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,24C,95c4cf1c17f97b6f
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,14B,3780979a5959ac4f
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,12B,b80bb2ec148699cb
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,34F,f7e02a56d9f1abe8
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,13D,fb89aebe8aba1170
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,26E,693da76722da27ae
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,eb419af2876a17e8
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,3D,2b318a4903e34f1d
B1102,P1448,SJ196,2025-10-06 11:37:36.951,UNKNOWN,15F,3af30f986bc10fdf
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,da51ed01fc777418
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,c2b4835877d40b7a
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,19F,1d3dac43b1594a12
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,60b7af71e1bbb27b
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,30F,6a1fb7f1be0bccc7
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,324fbc9c9b6f4a77
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,33D,320a00e4dcb15636
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,12B,3f1988a5001b2e1b
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,34A,931436b7fc1d5cff
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,27A,549b6d9a573b2201
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,5A,789f60f260936222
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,2E,8dfedddcce752555
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,10A,26050249f05f3f74
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,19B,89c9ea9c8f3c9e81
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,28F,872278f4b558af07
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,fc3df106b0b21179
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,21F,11657afab1fb6dc9
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,12D,b84615456a996ebe
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,17C,d6c9529c06c807cb
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,20B,14b099409634db76
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,8A,84b99269d7259fde
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,5C,789b2151d973ab83
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,27E,a0cab12df09a4074
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,1662c7047ff4c2ab
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,2E,e8cfa1e951a82671
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,10D,742f734c27679954
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,26F,c410880c10b4e3fc
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,34E,f09c0a93b6e2e17f
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,1C,2b93216a02a743ce
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,10D,706954c03a671001
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,23D,d378f468ed045771
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,34C,0a9256c654868404
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,20E,19675c77c0ce2ef1
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,28E,1a8e2ee9604dd7ba
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,13E,3ffce22827c5a12c
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,6C,d55b6e72cb263db9
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,29F,bbae7556e98aab26
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,29D,f8f7cdc9ecb48ca5
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,9C,49d97b1c4c7dc5b6
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,5C,fcde0e2b5da25ae6
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,15A,afdc34ca2d557c15
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,6D,7d87c96db5c0306d
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,15D,c42e261739311d31
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,25A,b7639e905434a697
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,11E,50a1a04ea43fe448
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,19A,1824f7428d639b28
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,30F,1070d881d49cf2af
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,12A,3b18d93f584be98b
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,29B,14689b785bc985f0
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,27A,9fbb2208f9766832
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,8D,27fa8ad298e54db4
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,24A,3c315599a219a423
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,6D,ab2ce452d61eed45
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,5E,18105491da73b71e
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,18B,d05f1dac37acdbb5
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,22A,02e620d5c290a397
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,22F,37f83968179dbd01
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,29A,f60d6ae35bcbee28
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,12A,704cb66091633178
B1162,P1027,AI146,2025-04-22 11:37:36.951,UNKNOWN,32D,7614e3e997090be5
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,13D,c4d3ee9b910c5e48
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,24A,fbd36eb2eaea50ed
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,2F,7e1e2b1f17b8b4b5
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,34D,afd59be446e44c9a
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,9F,25c9918012ccad8a
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,11C,b2a4552d3e133305
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,11E,ed1edafa73bc76f8
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,15E,b89fef1bedb516d1
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,21A,5587d350cca62364
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,8F,c4cd72969b5315c5
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,22E,2826a2e130e92ede
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,19D,29e92ad39b5d6a5c
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,27D,466c0cb9c6566748
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,7C,25b0176f8e2de949
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,34D,1faa946c34da555b
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,34E,0e2f11d40ecb3e76
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,33D,70e7a5fb17d65d4f
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,22F,a64c6645c82fe4ff
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,12E,77e39000ffec8425
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,3A,4b02215cb1568771
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,8C,86829e1ac6a1acf3
B1184,P1108,6F232,2025-08-01 11:37:36.951,PENDING,28E,62190f4d1de67f08
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,25E,287a4af8dd539be3
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,1B,d05484ef6ee594fd
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,7F,e41475699a6d3c20
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,6A,7a099f39ae7927f3
B1189,P1675,AI019,2025-11-23 11:37:36.951,CONFIRMED,14F,1e0b58e9054391e8
B1190,P1067,6F029,2025-05-23 11:37:36.951,PENDING,12B,fb4608a3ca51111d
B1191,P1291,6F018,2025-04-27 11:37:36.951,CONFIRMED,25B,667823d76db39ff3
B1192,P1691,AI059,2025-06-23 11:37:36.951,CANCELLED,7D,6fc5ff2593b645cd
B1193,P1180,AI159,2025-05-22 11:37:36.951,PENDING,13D,afa5b00ae8c19c0b
B1194,P1465,6F091,2025-07-11 11:37:36.951,CONFIRMED,14F,21772342d60b2d20
B1195,P1433,6F084,2025-07-20 11:37:36.951,CANCELLED,10B,7a5de755198c824b
B1196,P1463,UK170,2026-01-15 11:37:36.951,CANCELLED,20C,410a1643c227b328
B1197,P1680,UK212,2025-05-19 11:37:36.951,CONFIRMED,2E,b4308a23ef273621
B1198,P1913,SJ022,2025-06-16 11:37:36.951,UNKNOWN,29A,e443111bff25ce9e
B1199,P1533,SJ075,2025-12-13 11:37:36.951,PENDING,30E,e44d23e29f0e31c6
B1200,P1065,UK177,2025-09-17 11:37:36.951,CONFIRMED,16B,d5b06c9879e93652
B1201,P1020,UK206,2026-02-01 11:37:36.951,CANCELLED,3A,3e29f2cb2f8234e9
B1202,P1611,UK079,2025-04-29 11:37:36.951,CANCELLED,29C,69fda9e79160beb5
B1203,P1383,UK040,2025-06-21 11:37:36.951,CONFIRMED,3B,0a16a9bbb8a5b9ee
B1204,P1811,AI034,2025-07-25 11:37:36.951,CONFIRMED,30A,814d6c12e4912cff
B1205,P1614,UK034,2025-10-18 11:37:36.951,CONFIRMED,23F,ee04af9da49bffa2
B1206,P1558,AI088,2025-07-02 11:37:36.951,CONFIRMED,13A,92b485c38fbce3d1
B1207,P1038,AI128,2025-06-11 11:37:36.951,PENDING,26A,469b6ab25310994b
B1208,P1284,SJ052,2025-07-22 11:37:36.951,UNKNOWN,9A,95582300eb4865ac
B1209,P1821,AI233,2025-12-15 11:37:36.951,PENDING,3A,d4b8065ae6c579ac
B1210,P1601,AI012,2026-01-20 11:37:36.951,PENDING,3C,4c431f72d5d04d2f
B1211,P1596,AI084,2025-07-07 11:37:36.951,CONFIRMED,34A,023ae20162c2f317
B1212,P1784,6F126,2025-07-08 11:37:36.951,PENDING,34B,3af066e17c571ac5
B1213,P1335,SJ061,2025-06-16 11:37:36.951,CONFIRMED,2E,6de19bcd15edd069
B1214,P1187,UK194,2025-08-14 11:37:36.951,UNKNOWN,23B,c88d65fea3680e5f
B1215,P1670,AI135,2025-08-08 11:37:36.951,CANCELLED,28C,a4ccb4cebf51d991
B1216,P1242,6F238,2025-12-09 11:37:36.951,CONFIRMED,10A,9e7c2e3450410e8a
B1217,P1072,6F092,2026-03-19 11:37:36.951,CANCELLED,32C,6dc3d57d8ab76aa9
B1218,P1478,AI213,2025-11-13 11:37:36.951,PENDING,2D,f1b8efb28ccf874a
B1219,P1973,UK193,2026-02-15 11:37:36.951,CANCELLED,1B,e6f7c7df80fc633f
B1220,P1560,6F178,2026-04-04 11:37:36.951,PENDING,29C,2a111245db330168
B1221,P1100,AI158,2026-03-06 11:37:36.951,CONFIRMED,19D,43dd69fe388e4217
B1222,P1513,UK208,2026-03-30 11:37:36.951,PENDING,8A,b36b5e62db340ae2
B1223,P1755,6F056,2026-04-09 11:37:36.951,UNKNOWN,15A,102bf3cf727cb987
B1224,P1175,UK185,2025-10-26 11:37:36.951,CONFIRMED,1E,52bb409870cf2f6b
B1225,P1237,AI163,2026-01-13 11:37:36.951,PENDING,4D,6c2608bc4b6a8e04
B1226,P1909,AI112,2025-08-23 11:37:36.951,CONFIRMED,15C,7c9b8796ace1872c
B1227,P1058,AI227,2025-10-23 11:37:36.951,CANCELLED,12A,53d5b02c4ececebc
B1228,P1864,SJ083,2026-04-17 11:37:36.951,CONFIRMED,29D,5cea9f976a13567d
B1229,P1098,UK073,2026-02-07 11:37:36.951,CONFIRMED,13F,e7d8dac664c7741b
B1230,P1953,6F169,2025-04-29 11:37:36.951,PENDING,6C,c07e950faded4337
B1231,P1870,UK154,2026-04-06 11:37:36.951,CANCELLED,27D,56faa0947b399988
B1232,P1953,SJ169,2025-10-06 11:37:36.951,CONFIRMED,32F,01707546bff7edec
B1233,P1494,6F187,2025-05-13 11:37:36.951,CANCELLED,5F,bb896c0cbe48a46d
B1234,P1946,UK210,2025-11-21 11:37:36.951,CANCELLED,33A,39097a96fd52f1ab
B1235,P1979,6F250,2025-12-23 11:37:36.951,PENDING,13D,6cb9395cb1c9c17e
B1236,P1513,AI062,2025-07-05 11:37:36.951,CONFIRMED,25A,271679179d225d90
B1237,P1754,AI047,2025-11-16 11:37:36.951,UNKNOWN,15B,121b9f591e6061df
B1238,P1296,SJ186,2025-10-20 11:37:36.951,UNKNOWN,8E,ad635b7764298da4
B1239,P1210,AI217,2025-11-17 11:37:36.951,CANCELLED,30A,bfcfa5d90de2ed50
B1240,P1122,UK100,2025-12-31 11:37:36.951,CONFIRMED,17A,cba42f3eeb784d65
B1241,P1228,UK116,2025-12-16 11:37:36.951,CONFIRMED,10A,3908b31871d0dc99
B1242,P1593,6F036,2025-12-01 11:37:36.951,CANCELLED,26C,35124f879d9bdc9c
B1243,P1655,AI175,2026-01-22 11:37:36.951,CANCELLED,29E,f01fed20d615bfb1
B1244,P1387,UK051,2025-08-18 11:37:36.951,CONFIRMED,27D,a096da9604312585
B1245,P1139,6F201,2026-04-17 11:37:36.951,UNKNOWN,26A,158444325e6a5961
B1246,P1540,6F230,2026-04-09 11:37:36.951,CONFIRMED,33B,0da0daebff36ffa7
B1247,P1390,SJ138,2025-08-13 11:37:36.951,CANCELLED,15F,29e7e007c93225f8
B1248,P1269,AI246,2026-03-04 11:37:36.951,PENDING,16B,983f6a394bfa18dc
B1249,P1758,6F179,2025-06-06 11:37:36.951,CANCELLED,26B,48fd39716a1b09b8
B1250,P1011,6F031,2026-01-28 11:37:36.951,CANCELLED,16F,b05acaaa26ffe2cf
B1251,P1866,UK015,2025-08-30 11:37:36.951,PENDING,29A,ad3874deb14adcb7
B1252,P1388,UK001,2025-04-21 11:37:36.951,CANCELLED,27C,72295d408d5005a6
B1253,P1336,6F133,2026-02-27 11:37:36.951,CANCELLED,15E,ea593d2c3b9d9ab7
B1254,P1505,6F143,2025-07-22 11:37:36.951,CANCELLED,5D,47682f6856f8cd6f
B1255,P1105,UK165,2025-09-22 11:37:36.951,CANCELLED,23F,219bef4831f829eb
B1256,P1031,6F083,2025-08-10 11:37:36.951,CANCELLED,22B,48493a1e45619550
B1257,P1073,AI082,2025-08-19 11:37:36.951,CANCELLED,11C,b9d993e38146c100
B1258,P1170,AI164,2025-10-28 11:37:36.951,CANCELLED,21F,d42f09f610f9243a
B1259,P1848,SJ155,2026-01-19 11:37:36.951,CANCELLED,31F,4b77e15ca9a67f14
B1260,P1068,AI189,2026-01-04 11:37:36.951,CANCELLED,1D,4523ef270407c19e
B1261,P1812,SJ057,2025-12-21 11:37:36.951,CONFIRMED,34A,8b12b9b6c47a74bc
B1262,P1361,SJ198,2025-05-07 11:37:36.951,CONFIRMED,16F,93b683f45f63e716
B1263,P1648,6F122,2026-01-03 11:37:36.951,CANCELLED,6C,363b9fb8fce1194f
B1264,P1432,SJ097,2026-04-15 11:37:36.951,CONFIRMED,12A,d2eaa1f0d671e6fe
B1265,P1928,UK203,2025-08-06 11:37:36.951,PENDING,28F,9042ffc6235420bc
B1266,P1995,UK093,2026-01-16 11:37:36.951,CONFIRMED,27F,73908b01d924b10c
B1267,P1099,AI205,2025-05-21 11:37:36.951,CANCELLED,32A,eb44b7a5311fd8e7
B1268,P1657,AI102,2026-01-16 11:37:36.951,UNKNOWN,12A,3cff8374d208d717
B1269,P1008,6F046,2025-09-06 11:37:36.951,CONFIRMED,4C,8739a392d975ad68
B1270,P1573,SJ017,2025-06-02 11:37:36.951,UNKNOWN,22E,5cfcbbb44314e2ad
B1271,P1696,6F156,2025-10-20 11:37:36.951,PENDING,28B,d8ba4d5d252f7b48
B1272,P1028,AI068,2025-07-18 11:37:36.951,PENDING,19A,640500d978ddaa98
B1273,P1892,AI150,2025-06-05 11:37:36.951,UNKNOWN,28B,069b2c7abe450ba5
B1274,P1113,UK008,2025-10-15 11:37:36.951,PENDING,20D,df9df1cea85fc191
B1275,P1461,6F166,2025-07-11 11:37:36.951,PENDING,18F,d7881e02ec5c14d4
B1276,P1920,6F177,2025-07-15 11:37:36.951,CONFIRMED,1A,00e170dec3f39461
B1277,P1142,AI196,2026-01-19 11:37:36.951,PENDING,12E,142f5cb76d1edde1
B1278,P1389,SJ191,2025-08-09 11:37:36.951,CONFIRMED,5B,0003f77c12cdd762
B1279,P1631,6F019,2025-05-10 11:37:36.951,UNKNOWN,28C,4190b8c35d5ceac4
B1280,P1681,AI226,2026-04-12 11:37:36.951,CONFIRMED,33B,217ef94d41a61ab6
B1281,P1156,SJ207,2026-01-21 11:37:36.951,CANCELLED,4A,348a1a78e838501b
B1282,P1334,AI009,2025-12-30 11:37:36.951,CANCELLED,8B,d81e45c4922a75ea
B1283,P1860,AI103,2025-05-08 11:37:36.951,UNKNOWN,29D,9ab4808a0aee5a55
B1284,P1259,SJ127,2026-02-22 11:37:36.951,CANCELLED,25F,d6f10f5ff45f6400
B1285,P1081,UK188,2026-03-26 11:37:36.951,CANCELLED,25B,1b57d26efecdc40e
